package,license,allowed,note
"is-stream","MIT","YES",""
"is-string","MIT","YES",""
"is-symbol","MIT","YES",""
"is-typed-array","MIT","YES",""
"is-unicode-supported","MIT","YES",""
"is-weakmap","MIT","YES",""
"is-weakref","MIT","YES",""
"is-weakset","MIT","YES",""
"is-wsl","MIT","YES",""
"isarray","MIT","YES",""
"isbot","Unlicense","YES",""
"isexe","ISC","YES",""
"istanbul-lib-coverage","BSD-3-Clause","YES",""
"istanbul-lib-report","BSD-3-Clause","YES",""
"istanbul-reports","BSD-3-Clause","YES",""
"jackspeak","BlueOak-1.0.0","YES",""
"jest-worker","MIT","YES",""
"jiti","MIT","YES",""
"jose","MIT","YES",""
"js-md4","MIT","YES",""
"js-tokens","MIT","YES",""
"js-yaml","MIT","YES",""
"jsdom","MIT","YES",""
"jsesc","MIT","YES",""
"json-buffer","MIT","YES",""
"json-parse-even-better-errors","MIT","YES",""
"json-rpc-2.0","MIT","YES",""
"json-schema-traverse","MIT","YES",""
"json-schema-typed","BSD-2-Clause","YES",""
"json-stable-stringify-without-jsonify","MIT","YES",""
"json5","MIT","YES",""
"jsonfile","MIT","YES",""
"jsx-ast-utils-x","MIT","YES",""
"keyv","MIT","YES",""
"kleur","MIT","YES",""
"knip","ISC","YES",""
"leaflet","BSD-2-Clause","YES",""
"levn","MIT","YES",""
"lightningcss","MPL-2.0","YES","Build tool — not distributed in runtime"
"lightningcss-win32-x64-msvc","MPL-2.0","YES","Build tool"
"lines-and-columns","MIT","YES",""
"lint-staged","MIT","YES",""
"listr2","MIT","YES",""
"loader-runner","MIT","YES",""
"locate-path","MIT","YES",""
"lodash","MIT","YES",""
"lodash.camelcase","MIT","YES",""
"lodash.defaults","MIT","YES",""
"lodash.groupby","MIT","YES",""
"lodash.isarguments","MIT","YES",""
"lodash.merge","MIT","YES",""
"log-symbols","MIT","YES",""
"log-update","MIT","YES",""
"long","Apache-2.0","YES",""
"loose-envify","MIT","YES",""
"loupe","MIT","YES",""
"lru-cache","ISC","YES",""
"lucide-react","ISC","YES",""
"lz-string","MIT","YES",""
"magic-string","MIT","YES",""
"magicast","MIT","YES",""
"make-dir","MIT","YES",""
"math-intrinsics","MIT","YES",""
"media-typer","MIT","YES",""
"memfs","Apache-2.0","YES",""
"merge-descriptors","MIT","YES",""
"merge-stream","MIT","YES",""
"merge2","MIT","YES",""
"micromatch","MIT","YES",""
"mime-db","MIT","YES",""
"mime-types","MIT","YES",""
"mimic-fn","MIT","YES",""
"mimic-function","MIT","YES",""
"min-indent","MIT","YES",""
"minimalistic-assert","ISC","YES",""
"minimatch","BlueOak-1.0.0","YES",""
"minimist","MIT","YES",""
"minipass","BlueOak-1.0.0","YES",""
"mitt","MIT","YES",""
"motion-dom","MIT","YES",""
"motion-utils","MIT","YES",""
"mrmime","MIT","YES",""
"ms","MIT","YES",""
"msw","MIT","YES",""
"mutation-server-protocol","Apache-2.0","YES",""
"mutation-testing-elements","Apache-2.0","YES",""
"mutation-testing-metrics","Apache-2.0","YES",""
"mutation-testing-report-schema","Apache-2.0","YES",""
"mute-stream","ISC","YES",""
"nano-spawn","MIT","YES",""
"nanoid","MIT","YES",""
"napi-postinstall","MIT","YES",""
"natural-compare","MIT","YES",""
"negotiator","MIT","YES",""
"neo-async","MIT","YES",""
"netmask","MIT","YES",""
"next","MIT","YES",""
"next-themes","MIT","YES",""
"nexus-rpc","MIT","YES",""
"node-domexception","MIT","YES",""
"node-fetch","MIT","YES",""
"node-releases","MIT","YES",""
"npm-run-path","MIT","YES",""
"nwsapi","MIT","YES",""
"object-assign","MIT","YES",""
"object-inspect","MIT","YES",""
"object-keys","MIT","YES",""
"object-treeify","MIT","YES",""
"object.assign","MIT","YES",""
"object.fromentries","MIT","YES",""
"object.groupby","MIT","YES",""
"object.values","MIT","YES",""
"obug","MIT","YES",""
"on-finished","MIT","YES",""
"once","ISC","YES",""
"onetime","MIT","YES",""
"open","MIT","YES",""
"optionator","MIT","YES",""
"ora","MIT","YES",""
"outvariant","MIT","YES",""
"own-keys","MIT","YES",""
"oxc-resolver","MIT","YES",""
"p-limit","MIT","YES",""
"p-locate","MIT","YES",""
"pac-proxy-agent","MIT","YES",""
"pac-resolver","MIT","YES",""
